Date,Content,Video title,Video publish time,Duration,Watch time (hours)
2024-07-03,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.0289
2024-07-04,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.9924
2024-07-05,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.5535
2024-07-06,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.2929
2024-07-07,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.3279
2024-07-08,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.9953
2024-07-09,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,1.5899
2024-07-10,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,1.8418
2024-07-11,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.1392
2024-07-12,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.6539
2024-07-13,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,1.0156
2024-07-14,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.4218
2024-07-15,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.9369
2024-07-16,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.6852
2024-07-17,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.3194
2024-07-18,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.3786
2024-07-19,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.4459
2024-07-20,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.8333
2024-07-21,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.7803
2024-07-22,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.3183
2024-07-23,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,0.65
2024-07-24,3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,1.0081
